Canonical_SMILES,Device_tier,Train/Valid/Test,CN,predicted,glob_vector,total_atoms,atom_shap_total,atomwise_shap
CCCCC(C)(CCCC)c1ccc2ccccc2c1,1,Train,12.125,11.858589,0.550230 2.975034 -2.283533 -0.899538 0.898754 0.189891 -3.469552 -1.107269 1.942243 -0.326603 0.304373 0.719846 0.931010 -0.742922 -0.168515 1.793262 1.486710 1.131862 1.355994 -1.031129 2.554881 0.346436 0.494949 0.497621 -0.023480 -1.414566 -0.168810 0.040017 0.981591 -2.553201 0.638983 -0.254482 -0.969532 -1.494958 -0.747258 0.151972 0.557399 0.572822 0.446487 -2.378335 1.237925 0.897093 -0.803500 0.401570 1.554274 -0.121023 0.732805 -1.787500 -0.105536 -3.720596 0.820553 1.519287 -2.664462 -1.252375 1.494114 -1.312897 0.022822 -1.477451 2.359421 -1.251511 -0.185056 -0.459503 1.330944 1.175973,20,11.858588999999998,"[ 0.86277565  1.34264146  1.68746988  1.33495364  0.95544657  0.48953217
  1.33495364  1.68746988  1.34264146  0.86277565  0.28687782 -0.01245258
 -0.14434504 -0.2121656  -0.03162979  0.19351644  0.20022299 -0.05866347
 -0.26027726 -0.00315451]"
CCCCCCCCCCCCCCC1=CC=CC=C1,1,Train,72.0,71.847755,4.643526 18.186165 -10.607357 -6.385736 3.984579 2.161666 -21.986067 -3.526057 12.695206 -0.758557 3.976102 6.628382 4.641738 -3.119233 -1.701856 12.903724 10.556644 7.315439 9.394262 -6.195606 13.852757 2.912863 3.492135 7.819072 -2.141237 -6.153962 1.425283 2.034249 5.730368 -17.041227 3.050431 -1.724166 -6.832361 -9.865920 -5.990118 2.351132 5.742555 3.224645 0.995621 -10.674708 10.397168 6.785050 -6.399389 3.482731 9.509009 -1.068509 5.831256 -11.551212 -0.596622 -20.419027 4.697891 8.949499 -13.188493 -10.338310 6.997476 -6.036284 -1.810102 -9.607367 13.846730 -6.845184 -0.326986 -4.175686 10.045598 3.063987,20,71.84775499999999,"[0.97824628 2.45801945 3.87258828 4.83506071 4.93665648 4.98048918
 4.98048918 4.98048918 4.98048918 4.98048918 4.94596991 4.89785631
 4.41406493 3.96755989 5.12032901 1.83528651 0.90137946 1.04562595
 0.90137946 1.83528651]"
CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)O,1,Train,20.4,20.63066,0.816643 5.282982 -3.141250 -2.276611 0.768077 -0.210251 -5.984367 -1.529237 3.881529 0.111354 0.712840 2.039620 1.076124 -1.249290 0.081388 3.677021 2.914961 1.876536 2.630256 -1.526427 3.910964 0.654424 0.717779 1.403064 -0.356096 -2.141058 -0.021075 0.496035 2.066060 -4.261587 1.292907 -0.416457 -2.063376 -2.843642 -1.337984 0.577474 1.965906 1.445103 0.241039 -3.804230 2.545483 1.640090 -1.518534 0.625462 2.768256 -0.638968 1.786974 -3.218268 -0.030444 -5.642055 0.696785 2.422622 -3.590314 -2.937133 2.142566 -1.734523 -0.260276 -2.488875 4.226593 -2.193410 -0.119019 -1.306187 2.759849 1.407990,20,20.630660000000002,"[0.46729932 0.81450253 0.65272767 0.66520482 0.73994037 0.6663392
 0.6663392  0.74854474 0.69689962 0.87959366 1.26921815 1.99521237
 2.34978108 2.48169527 2.34290791 1.91711067 0.96145207 0.08538609
 0.17444144 0.05606382]"
CCCCCCCCC(C)C(C)CCCCCCCC,1,Train,59.75,59.538647,3.408224 14.972018 -8.928078 -5.008575 3.279783 1.519679 -18.400866 -3.281533 10.818697 -1.012347 2.959085 5.890699 3.408004 -2.962213 -1.283208 10.705499 8.826158 5.795287 7.720517 -5.051824 11.132133 2.200596 2.887629 6.407859 -1.426534 -5.088276 1.021319 1.939838 5.215890 -13.989717 2.518269 -1.283967 -5.000096 -8.873925 -4.909915 1.822215 5.072500 2.951397 0.693876 -9.294694 8.296864 5.725009 -5.746243 2.738849 8.052282 -1.301344 5.038551 -9.462456 -0.354018 -17.257086 3.344544 6.934286 -11.104292 -8.992870 5.789255 -5.063166 -1.684227 -7.711013 11.582051 -5.504653 -0.672812 -3.526803 8.413257 2.885287,20,59.538647,"[1.40674774 2.5931762  3.76442509 4.16321181 4.53650971 4.30297546
 3.10230704 1.97457917 2.82422242 1.10116925 2.82422206 1.10116912
 1.97457834 3.10230757 4.30297546 4.53650971 4.16321181 3.76442509
 2.5931762  1.40674774]"
CCCCCCCCCCCCCCCCOC(=O)C,3,Train,86.0,87.03147,4.768168 23.044138 -14.017015 -6.853882 4.748414 2.775074 -26.617771 -3.742123 15.383793 -0.566886 4.585200 7.925526 7.708595 -3.298015 -1.329412 14.991147 12.216739 8.686841 10.992348 -6.498559 16.857870 4.284133 4.459472 9.418325 -2.706539 -7.202253 1.344534 1.465472 7.552200 -20.014400 4.607332 -0.874667 -8.485456 -12.182142 -7.643055 2.931470 6.081363 4.400481 2.631038 -13.352216 13.106895 8.081440 -7.965858 5.332612 11.312085 -1.419868 7.417107 -13.465166 -1.613321 -24.600700 5.976912 11.450314 -16.160416 -11.802132 9.831556 -5.990045 -1.672757 -13.196039 16.247906 -7.577694 -0.170428 -4.396586 12.610514 3.694295,20,87.03147,"[2.28792812 4.6785088  5.29159813 5.86941821 6.12370513 6.07863436
 6.07863436 6.07863436 6.07863436 6.07863436 6.07863436 6.07863436
 6.12490525 5.74682138 4.30400803 2.02977363 0.08600932 0.06714736
 0.83307951 1.03812661]"
CCCCCCCCCCCCCCCC(=O)OCC,3,Train,80.0,79.84578,4.165009 20.789841 -12.906883 -6.295702 4.140371 2.328054 -24.498028 -3.445838 13.788156 -0.372531 4.201951 7.484551 7.152353 -3.025763 -1.025785 13.506479 11.144241 7.942294 9.934781 -5.793400 15.538292 3.778529 3.944696 8.533957 -2.442528 -6.679061 1.228725 1.566814 6.916067 -18.186623 4.113517 -0.954381 -7.994787 -11.032821 -6.646652 2.715865 5.200406 4.252253 2.483443 -12.455036 12.040134 7.352455 -7.301541 4.678051 10.504607 -1.517068 6.940583 -12.501821 -1.446931 -22.231258 5.539119 10.361829 -14.869229 -10.809516 8.882261 -5.347761 -1.715651 -11.955280 14.908110 -6.976431 -0.000062 -4.215385 11.626459 3.526437,20,79.84577999999999,"[2.39669999 6.2125565  5.8997832  4.96582644 4.58425452 4.30599022
 4.30599022 4.30599022 4.30599022 4.30599022 4.30599022 4.94313941
 3.94265339 3.08095254 1.72044328 3.71902935 3.8743862  2.31894634
 4.65758016 1.69358736]"
CCCCCCCCC=CCCCCCCCC(=O)O,3,Train,46.0,46.08289,2.419493 11.834494 -6.969982 -4.404290 2.506069 0.782207 -13.688485 -2.731307 8.392768 -0.285711 1.894513 4.071156 2.676195 -2.070595 -0.662082 8.038816 6.664000 4.578489 5.753500 -3.946485 8.839128 2.195936 2.163986 4.394913 -1.203088 -4.221334 0.521242 1.310684 4.101773 -10.292234 2.380215 -1.017194 -4.191034 -6.257863 -3.616719 1.099335 4.044714 2.382075 0.411253 -7.550738 6.471704 4.151720 -3.756985 2.054777 6.060061 -0.872247 3.979552 -7.251631 -0.325646 -12.952985 2.374960 5.888086 -8.299408 -6.817064 5.041599 -3.971023 -0.835311 -5.882856 9.038984 -4.358169 -0.266498 -2.586808 6.474870 2.446779,20,46.08289,"[1.31479527 2.21426996 2.93726052 3.37568371 3.45720935 3.21602271
 2.49383848 1.67585465 1.10321148 1.10321148 1.67585465 2.49383848
 3.21602271 3.45794467 3.20103822 2.46387615 2.04776795 2.94098388
 0.84929875 0.84490695]"
CCCCCCCCCCCC(=O)OCCCCCC,3,Train,74.0,74.47414,3.929376 19.506479 -11.978315 -5.599049 3.884493 2.164450 -22.959496 -3.283186 13.045941 -0.361435 3.889660 7.188509 6.903762 -2.925877 -1.046648 12.577077 10.177315 7.212643 9.458463 -5.377131 14.447834 3.724730 3.715656 8.175083 -2.222241 -6.198905 1.214302 1.365671 6.778624 -16.976196 3.665385 -0.932262 -7.209054 -10.284126 -6.235606 2.695671 5.006402 3.985008 2.368845 -11.400329 11.205215 6.680498 -6.817266 4.376844 9.901704 -1.489906 6.441201 -11.741992 -1.489374 -20.728287 5.031770 9.752455 -14.030832 -9.940056 8.095210 -4.893459 -1.645862 -11.251003 13.987463 -6.473118 -0.132599 -3.781385 10.787798 3.590328,20,74.47414,"[ 2.27295409  4.65334843  5.32893996  5.53156237  5.59041587  5.46208608
  5.46208608  5.68903543  4.88926488  3.15361142  0.64262303 -0.38773366
  1.03471521  0.40396036  2.36120037  4.47854203  5.6063961   5.37482943
  4.65334843  2.27295409]"
CCCCCC[C@](C)(CC)C1CCCC2CCCCC12,3,Train,18.38,18.228249,0.872091 4.378661 -3.056019 -1.618194 0.848572 0.146526 -5.162006 -1.561981 3.215122 -0.172121 0.537658 1.796783 0.682914 -1.044574 -0.469638 2.977553 2.491450 1.639764 2.068200 -1.569688 3.609108 0.353487 0.975685 1.335896 -0.320618 -1.811163 -0.103386 0.378884 1.883642 -4.078694 0.907113 -0.147549 -1.926840 -2.433907 -1.073123 0.314089 1.376672 1.249903 0.505068 -3.214610 2.149210 1.641024 -1.725702 0.673817 2.136168 -0.357245 1.408488 -3.155720 -0.300491 -5.271366 0.828858 2.003193 -3.389428 -2.834023 2.008012 -1.500110 -0.502143 -2.248184 3.722080 -1.959326 -0.253182 -1.271171 2.224359 1.097343,20,18.228249,"[0.87271598 1.2875081  1.78657554 1.94760063 1.74459245 0.72411612
 0.19604699 0.48385981 0.46165505 0.44916068 0.12529763 0.30688463
 1.01078329 1.09964786 1.01957173 1.13502337 1.35354945 1.1136927
 0.56365262 0.54631437]"
CCC=CCC=CCC=CCCCCCCCC(=O)O,3,Train,20.0,20.630661,0.816643 5.282983 -3.141250 -2.276611 0.768077 -0.210251 -5.984368 -1.529237 3.881529 0.111354 0.712840 2.039620 1.076124 -1.249290 0.081388 3.677022 2.914961 1.876536 2.630256 -1.526427 3.910964 0.654424 0.717779 1.403064 -0.356096 -2.141058 -0.021075 0.496035 2.066060 -4.261587 1.292907 -0.416456 -2.063376 -2.843642 -1.337984 0.577474 1.965906 1.445103 0.241040 -3.804230 2.545483 1.640090 -1.518535 0.625463 2.768257 -0.638968 1.786974 -3.218268 -0.030444 -5.642055 0.696785 2.422623 -3.590314 -2.937134 2.142566 -1.734523 -0.260276 -2.488875 4.226593 -2.193410 -0.119019 -1.306187 2.759850 1.407990,20,20.630660999999996,"[0.46729906 0.81450285 0.65272729 0.66520457 0.73994052 0.66633901
 0.66633901 0.74854487 0.69689893 0.87959275 1.26921796 1.9952121
 2.34978083 2.48169543 2.34290727 1.91711274 0.96145273 0.08538668
 0.17444244 0.05606395]"
