Canonical_SMILES,Device_tier,Train/Valid/Test,CN,predicted,glob_vector
CCCCCCCC=C(CCCCCC)CCCCCC,1,Train,47.125,46.97986,2.550549 11.518887 -7.174906 -3.906051 2.325016 1.081644 -13.895861 -3.024035 8.161605 -0.220921 2.105215 4.331392 2.706977 -2.180228 -0.797932 7.763572 6.735250 4.697894 5.621323 -4.088163 9.040519 1.465446 2.547467 4.658174 -1.480836 -4.330473 0.406922 1.081083 3.921457 -10.781995 2.269130 -0.914585 -4.557133 -6.501697 -3.830686 0.946864 3.633923 2.691350 0.813987 -7.569139 6.672299 4.316401 -4.022635 2.070238 5.986959 -0.836349 4.009506 -7.843179 -0.482528 -13.376316 2.603601 5.920435 -8.752265 -6.821414 4.783266 -3.950641 -1.109219 -6.256500 9.115856 -4.578194 -0.243407 -2.806054 6.474431 2.261721
CCCCCCCCCCCCC1=CC=CC=C1,1,Train,68,65.78546,4.185987 16.607389 -9.794687 -5.902361 3.615394 1.966436 -20.085426 -3.177620 11.554248 -0.704927 3.646281 6.070573 4.211318 -2.836390 -1.486943 11.827358 9.653189 6.627481 8.573284 -5.668479 12.719683 2.617869 3.181087 7.154551 -1.945623 -5.650059 1.281129 1.974442 5.210761 -15.539865 2.760441 -1.541069 -6.297586 -9.003732 -5.457239 2.192834 5.240032 3.018453 0.929159 -9.855726 9.523696 6.276933 -5.903022 3.113610 8.716817 -0.979561 5.316225 -10.564656 -0.505037 -18.665701 4.360104 8.102818 -12.069729 -9.484761 6.395579 -5.552228 -1.642266 -8.714594 12.726440 -6.264592 -0.338248 -3.888341 9.149843 2.705178
CCC(CC)CC,1,Train,34.1,34.486443,1.480593 8.372431 -5.739963 -2.992960 1.737470 0.649965 -10.534326 -1.617183 6.075477 -0.497375 1.637428 3.132305 2.030207 -1.286351 -0.937685 5.981432 5.027429 2.624629 4.201019 -2.931464 6.851871 1.325608 1.431185 3.572321 -1.011662 -2.966843 0.122597 1.140224 2.819707 -7.829802 1.272642 -0.254896 -3.270226 -5.289903 -2.728248 1.507819 2.777494 2.097107 1.073444 -5.899235 4.791559 3.321045 -3.976164 1.387923 4.360013 -0.303453 2.710755 -5.704629 -0.136159 -9.754341 2.123689 3.879209 -6.186760 -5.323505 3.385297 -2.737254 -1.067534 -4.568542 6.824675 -2.898531 -0.739506 -2.154445 4.658370 1.416104
CCCCCCCCCCCCCC(=O)OC,1,Train,75.8,76.27234,3.729454 19.697702 -12.399317 -6.834792 4.291691 1.905091 -23.219362 -3.597704 13.102779 -0.931993 3.277271 6.506750 5.539989 -2.790483 -0.807220 12.926058 10.959576 7.675058 9.525887 -6.037953 14.973704 4.113434 4.116601 7.599236 -2.122299 -6.629802 1.170166 1.818842 6.325394 -17.378668 3.980093 -1.410608 -7.110431 -10.102912 -6.000555 2.046060 5.490244 3.992224 1.332042 -11.896908 11.185619 7.153788 -6.243186 3.584836 9.798056 -1.313657 6.930394 -11.543909 -1.188286 -21.287153 4.706789 10.106789 -14.226957 -10.582706 8.608539 -5.824626 -1.587349 -10.908801 14.571219 -7.460375 -0.237652 -4.046440 11.031356 3.781224
CCCCCCC(C)CCC(C)C,1,Train,57.875,60.181843,3.269684 15.234807 -9.306475 -4.993902 3.362733 2.026137 -18.723259 -2.925672 11.050642 -1.079078 3.299813 5.742370 3.824137 -2.697220 -1.300698 11.186640 8.923690 5.444063 7.701925 -5.144386 11.447128 2.652363 2.576274 6.895484 -1.394463 -4.921217 0.810261 2.175083 5.247776 -13.810905 2.197752 -0.835124 -4.953146 -9.411593 -4.918003 2.365327 5.324416 2.873951 0.927161 -9.535214 8.520631 6.208230 -6.275313 2.886598 8.238407 -0.985049 4.800951 -9.336517 -0.274215 -17.542841 3.670520 6.813743 -11.101059 -9.144211 6.023203 -5.133525 -1.691643 -7.843603 11.991946 -5.027774 -0.967518 -3.494296 8.549608 2.545777
CCCCC(=O)OC.CCCCC(=O)OC,1,Train,13.3,12.412267,0.465857 3.477323 -3.359799 0.796889 -1.621382 -0.677095 -3.418510 -0.976701 2.019937 1.132740 0.063665 3.034097 2.355287 0.815554 0.571889 0.097022 2.251132 3.391006 0.551594 -0.824075 4.290808 -0.457439 0.519593 -0.705311 -0.492330 -0.921281 -0.013175 0.815263 1.082156 -3.201905 2.090559 -0.167999 -2.139679 -1.036215 0.398002 -0.927414 -1.126670 1.125837 1.471863 -2.426939 1.913039 1.243839 -0.099733 -0.336777 1.908745 0.831693 2.095511 0.955135 -1.412213 -1.954648 1.193074 2.102847 -0.744312 -0.458777 1.832888 -1.502899 0.024468 -3.901284 2.542418 -3.427073 -1.606573 -0.761193 1.881934 0.293041
COCCOCCOC,1,Train,54.6,57.529697,3.632428 15.735736 -8.668928 -3.786494 2.872749 1.376920 -18.312223 -1.957282 10.737310 -0.700339 2.694975 6.755735 4.504497 -1.972269 -0.557598 10.191360 8.010662 5.568616 7.821160 -3.744751 11.175741 3.042952 2.903196 7.341432 -1.671732 -4.347333 2.062059 1.092664 6.574730 -13.491242 2.999014 -0.865997 -4.641575 -8.135974 -5.267237 2.850673 3.934165 2.260524 1.577369 -7.931014 8.670135 4.158284 -5.812691 3.031869 8.704388 -1.454348 5.266386 -9.533478 -1.299614 -16.007660 3.652630 7.296236 -11.132516 -7.898235 5.474010 -3.459364 -1.751181 -7.994073 10.772891 -4.162348 -0.596866 -3.134136 8.763165 3.051582
CCCCCCCCC,1,Train,60.9,62.500736,3.481679 15.588649 -9.468008 -5.508441 3.425792 1.575378 -18.785561 -3.373106 10.713113 -0.583114 2.854825 5.374835 3.707750 -2.686762 -0.967045 10.663563 9.144537 6.040195 8.003671 -5.457061 12.088226 2.589518 3.240988 6.409514 -1.856600 -5.679413 0.923049 1.364802 4.964242 -14.541718 2.937559 -1.403757 -5.891862 -8.495253 -5.262911 1.583524 4.980350 3.191808 0.929092 -9.673830 9.031581 5.794144 -5.204579 2.818595 7.968106 -0.788558 5.404814 -10.020118 -0.653273 -17.715675 3.652760 8.209780 -11.604712 -9.131367 6.342789 -5.317809 -1.391129 -8.407993 11.988127 -6.166203 -0.432627 -3.440565 8.894878 3.097223
CCOCCOCCO,1,Train,54.6,53.489902,3.475992 14.679023 -7.975272 -4.350517 2.664604 1.099625 -17.024265 -2.011530 9.794758 -0.587048 3.223193 6.412598 4.634778 -1.717740 -0.972255 9.776833 7.568861 5.112869 7.187314 -4.022744 10.461452 3.023427 1.949849 6.676588 -1.355717 -3.854054 1.646484 2.056864 5.924551 -12.063026 2.535623 -0.917157 -4.499650 -7.869333 -5.091024 3.151068 4.507442 2.206803 1.369000 -7.410009 7.899272 4.656267 -5.672457 3.255539 8.417083 -1.050714 4.761106 -8.390671 -0.558333 -14.817331 3.511956 5.977991 -9.686200 -7.273959 5.192649 -3.567486 -1.433124 -7.361289 10.047335 -3.826716 -0.334689 -2.938972 7.674601 2.167024
COC(C)COC(C)COC(C)CO,1,Train,81.3,79.914085,4.141424 21.846178 -11.969416 -5.928720 3.632611 1.753276 -27.014458 -2.930811 14.552641 0.093370 6.179747 9.950890 6.252189 -1.872929 -2.319667 16.087042 11.820389 8.348652 10.918220 -5.469860 15.527364 4.468992 2.209034 11.091481 -1.707513 -3.977057 2.118718 4.118935 8.064694 -18.352945 3.159147 -1.236642 -6.749456 -12.652203 -7.756804 5.436334 7.055754 3.519874 2.463919 -11.742346 11.518299 8.041473 -10.304009 5.080329 13.044443 -1.507491 5.954331 -11.361931 -0.317012 -22.220018 5.552444 7.731296 -15.095953 -11.210798 7.656403 -5.770310 -3.186063 -11.002264 16.031176 -4.809173 -1.171965 -5.128403 11.256923 1.709331
CCCCC(C)(CCCC)c1ccc2ccccc2c1,1,Train,12.125,11.858589,0.550230 2.975034 -2.283533 -0.899538 0.898754 0.189891 -3.469552 -1.107269 1.942243 -0.326603 0.304373 0.719846 0.931010 -0.742922 -0.168515 1.793262 1.486710 1.131862 1.355994 -1.031129 2.554881 0.346436 0.494949 0.497621 -0.023480 -1.414566 -0.168810 0.040017 0.981591 -2.553201 0.638983 -0.254482 -0.969532 -1.494958 -0.747258 0.151972 0.557399 0.572822 0.446487 -2.378335 1.237925 0.897093 -0.803500 0.401570 1.554274 -0.121023 0.732805 -1.787500 -0.105536 -3.720596 0.820553 1.519287 -2.664462 -1.252375 1.494114 -1.312897 0.022822 -1.477451 2.359421 -1.251511 -0.185056 -0.459503 1.330944 1.175973
CC1=CC(=C(C=C1)O)OC,1,Train,19.8,19.711596,0.882213 7.067178 -2.052871 -1.220103 1.377940 0.299000 -6.835943 -0.589477 4.080504 0.324934 2.268123 3.284334 1.921306 -0.425617 -1.316742 3.840708 3.012069 1.784697 3.480067 -1.802618 3.894108 1.192139 -0.564351 2.140120 0.057324 -1.344833 0.716488 1.245363 1.884549 -4.244826 0.344984 -0.133713 -0.977381 -3.106535 -2.713452 1.493754 2.135841 0.604760 1.705490 -2.410183 2.816496 2.650857 -2.927587 1.243839 3.489208 0.054811 1.177340 -2.331764 0.202979 -6.046455 0.611329 1.715636 -3.187888 -2.616525 2.144403 -2.053064 0.683178 -2.702875 2.984300 -1.116114 -0.308151 -0.766456 2.519369 0.538873
